EPOCH,RMSE,PCC,MAPE,MAE
0,1347.869615,0.404914,74.133530,816.810059
10,1157.959898,0.655052,74.043571,619.792419
20,1071.801346,0.791086,59.322315,559.824951
30,1125.791333,0.646215,54.800900,588.618347
40,1167.133936,0.469874,53.919247,610.900757
50,1182.568127,0.398101,53.581932,620.307373
60,1184.274461,0.395536,53.298374,622.254944
70,1183.162288,0.406507,53.052601,622.478027
80,1181.444984,0.413106,52.847691,621.701843
90,1178.930394,0.422952,52.490410,620.218323
100,1172.728016,0.452030,51.964859,617.020813
110,1164.300219,0.491196,51.391865,612.685730
120,1156.661792,0.531491,50.783932,609.037964
130,1154.520626,0.547425,50.698589,609.237671
140,1154.898318,0.553151,50.842934,610.934570
150,1154.466543,0.559646,51.001644,612.090515
160,1154.715171,0.563162,51.179871,613.451660
170,1154.732978,0.565641,51.342693,614.374390
180,1155.490751,0.563916,51.582256,615.690918
190,1155.649439,0.564365,51.728867,616.505859
200,1155.690973,0.564474,51.850891,617.097900
210,1155.880346,0.563651,51.940125,617.624451
220,1155.512116,0.562646,51.995682,617.527100
230,1155.461217,0.562500,52.031559,617.800964
240,1155.104703,0.562552,52.065426,617.821350
250,1155.057683,0.562472,52.141605,618.210693
260,1154.791702,0.562698,52.165398,618.227661
270,1153.882901,0.564302,52.145981,617.729126
280,1153.326764,0.565284,52.149467,617.470886
290,1152.406721,0.567653,52.166687,617.164307
300,1151.934189,0.568740,52.187695,617.108521
310,1151.580436,0.569366,52.192162,617.029785
320,1151.217616,0.570646,52.187901,616.945679
330,1150.283009,0.572830,52.177055,616.492676
340,1149.500707,0.575047,52.164406,616.167908
350,1149.175030,0.576032,52.168850,616.157227
360,1148.230378,0.577821,52.141872,615.601929
370,1147.324115,0.579734,52.112106,615.124329
380,1145.473756,0.584066,52.009514,613.848694
390,1144.235061,0.588174,51.963665,613.289490
400,1143.282992,0.591309,51.952473,612.922729
410,1142.620453,0.593079,51.934750,612.616577
420,1140.728824,0.598852,51.823975,611.423523
430,1139.033527,0.603264,51.717102,610.308289
440,1136.873454,0.609188,51.588066,608.932495
450,1134.785718,0.614951,51.450550,607.552856
460,1132.017281,0.622066,51.277935,605.693420
470,1128.966674,0.630742,51.078804,603.795349
480,1122.418705,0.647415,50.589878,598.919617
490,1116.651859,0.662626,50.167892,594.764648
500,1113.034254,0.669928,49.964603,592.499329
510,1111.372181,0.673267,49.867527,591.554749
520,1107.644629,0.679683,49.648556,589.019104
530,1103.502605,0.687024,49.367596,586.032715
540,1100.390556,0.691535,49.148922,583.660706
550,1099.019108,0.693203,49.073330,582.669067
560,1097.759423,0.694855,49.017841,581.928894
570,1096.391981,0.696647,48.942413,581.050964
580,1095.101879,0.698365,48.875626,580.245483
590,1093.544866,0.700386,48.776279,579.186584
600,1092.171861,0.701915,48.697983,578.239685
610,1090.834027,0.703672,48.629662,577.379028
620,1089.626427,0.705036,48.542404,576.516418
630,1088.105234,0.706486,48.457371,575.432617
640,1086.293814,0.708677,48.326561,574.095581
650,1084.183218,0.711085,48.191307,572.550415
660,1080.575541,0.715401,47.882107,569.380432
670,1079.502432,0.715985,47.821571,568.570801
680,1078.837627,0.716349,47.825283,568.443848
690,1077.368844,0.717523,47.733746,567.440430
700,1076.438166,0.717916,47.676048,566.790955
710,1075.141037,0.718971,47.627571,566.046936
720,1074.184924,0.719481,47.601040,565.553040
730,1073.331496,0.719759,47.566772,565.085144
740,1071.559669,0.720914,47.465580,563.804260
750,1069.773107,0.721904,47.363495,562.562683
760,1067.978640,0.722192,47.185707,560.893250
770,1065.271092,0.722862,46.905045,558.227539
780,1063.520451,0.723195,46.810329,556.921387
790,1063.350483,0.721670,46.801117,556.537598
800,1062.812836,0.720106,46.728348,555.805664
810,1062.074385,0.719469,46.669167,555.119751
820,1060.982033,0.718888,46.577793,554.112549
830,1060.743195,0.717961,46.558552,553.836853
840,1059.810714,0.717808,46.488045,553.002502
850,1059.118442,0.717592,46.435818,552.466125
860,1058.727302,0.717284,46.422924,552.151184
870,1057.922788,0.717154,46.369392,551.522705
880,1057.044051,0.716876,46.288540,550.752258
890,1056.544426,0.716652,46.268097,550.405396
900,1055.768973,0.715485,46.155899,549.490234
910,1054.841398,0.715089,46.063255,548.622925
920,1054.389515,0.714091,45.963543,547.898926
930,1053.509670,0.713701,45.871002,546.979797
940,1052.611396,0.713200,45.773003,546.008667
950,1051.285225,0.713128,45.657425,544.837219
960,1050.739442,0.712646,45.582794,544.255310
970,1050.251458,0.712459,45.549164,543.911377
980,1049.350096,0.712282,45.468391,543.057495
990,1048.342501,0.712127,45.390396,542.294861
